year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
141,44,31,13,8,36,89,108,25.136363636363637,15.702704787180846,37.238537040050566,43.79545454545455,56.20454545454545
142,44,31,13,8,36,89,108,26.136363636363637,15.434724638167616,36.67891172546875,43.79545454545455,56.20454545454545
143,44,33,11,8,36,89,108,27.136363636363637,15.840557374088133,36.273078989548225,43.79545454545455,56.20454545454545
144,43,34,9,10,33,90,108,27.53488372093023,15.484603764368536,36.49214042167798,43.53488372093023,56.46511627906977
145,44,35,9,10,34,90,108,27.90909090909091,15.427343358216744,38.16356573269234,43.65909090909091,56.34090909090909
146,45,36,9,10,35,90,108,28.288888888888888,15.317303582149943,39.06047419562783,42.91111111111111,57.08888888888889
147,46,37,9,10,36,90,108,28.67391304347826,14.91643096010595,38.73574295293753,43.58695652173913,56.41304347826087
148,45,37,8,12,33,91,108,29.177777777777777,14.871405732930391,36.43970537818072,42.77777777777778,57.22222222222222
149,45,36,9,11,34,92,108,28.955555555555556,15.563373247603069,36.21442036182313,41.4,58.6
150,45,35,10,11,34,93,108,28.68888888888889,14.79395895860817,37.421353641230546,42.24444444444445,57.75555555555555
151,44,34,10,12,32,94,108,29.15909090909091,14.309883086409819,35.940116913590174,42.59090909090909,57.40909090909091
152,46,34,12,14,32,94,108,28.891304347826086,15.076825614687552,37.96665264618201,42.84782608695652,57.15217391304348
153,46,34,12,13,33,95,108,28.565217391304348,15.311092614442444,35.482685880899105,44.28260869565217,55.71739130434783
154,47,34,13,13,34,95,108,28.95744680851064,16.369353413960884,35.46043382008166,44.12765957446808,55.87234042553192
155,48,34,14,13,35,96,108,28.083333333333332,18.686876036561205,34.41729063010546,43.6875,56.3125
156,49,35,14,15,34,96,108,28.510204081632654,19.672673573632956,33.14365295697929,44.12244897959184,55.87755102040816
157,51,37,14,17,34,96,108,28.392156862745097,20.39510563216858,33.997051230576524,44.80392156862745,55.19607843137255
158,48,34,14,17,31,98,109,27.958333333333332,17.798651731777742,36.00052327281107,45.333333333333336,54.666666666666664
159,49,33,16,16,33,99,109,27.306122448979593,19.277750838658985,37.028371610320605,45.93877551020408,54.06122448979592
160,50,33,17,16,34,99,109,27.76,18.816645220247555,36.303354779752446,46.44,53.56
161,53,34,19,20,33,99,109,27.18867924528302,19.648755331840537,37.6908673096689,48.37735849056604,51.62264150943396
162,53,34,19,19,34,100,109,26.81132075471698,20.23454400864861,34.44470127437027,47.9622641509434,52.0377358490566
163,54,35,19,19,35,100,109,27.314814814814813,20.66504161782024,34.59421764143902,47.907407407407405,52.092592592592595
164,57,33,24,18,39,102,109,25.087719298245613,21.208866355404584,37.304956544179674,48.40350877192982,51.59649122807018
165,57,33,24,20,37,103,109,24.982456140350877,19.750766468416032,35.44221598772432,47.96491228070175,52.03508771929825
166,58,33,25,20,38,104,109,24.53448275862069,21.807234144408927,33.333593579722056,47.56896551724138,52.43103448275862
167,63,33,30,20,43,104,109,23.58730158730159,23.985351145061028,34.28449012478024,47.34920634920635,52.65079365079365
168,62,31,31,20,42,107,109,22.193548387096776,24.82345058022481,32.644291355259064,47.016129032258064,52.983870967741936
169,62,31,31,19,43,108,109,22.338709677419356,25.647959615920925,31.14236296472424,46.91935483870968,53.08064516129032
170,64,32,32,23,41,108,109,22.640625,27.27032999714966,30.651545002850348,47.328125,52.671875
171,66,33,33,23,43,108,111,21.439393939393938,26.3380788819763,33.11646657256915,47.34848484848485,52.65151515151515
172,69,32,37,24,45,109,112,20.057971014492754,26.88385276080211,34.32096984177953,46.666666666666664,53.333333333333336
173,68,32,36,23,45,109,113,20.61764705882353,27.128097910541623,30.63660797181132,46.13235294117647,53.86764705882353
174,70,31,39,24,46,109,115,19.6,27.307285869979374,33.296148415734905,48.58571428571429,51.41428571428571
175,69,30,39,21,48,111,116,18.44927536231884,26.930400141557115,31.373947684529846,48.333333333333336,51.666666666666664
176,72,30,42,21,51,111,116,18.680555555555557,29.359722771849444,28.654166117039445,48.52777777777778,51.47222222222222
177,72,30,42,20,52,112,117,18.36111111111111,30.21650817354704,27.642497475013613,49.25,50.75
178,71,30,41,19,52,113,118,18.183098591549296,29.828306738189458,27.12943974068378,49.647887323943664,50.352112676056336
179,72,31,41,18,54,114,118,18.22222222222222,30.97673711808304,27.259373993028074,50.083333333333336,49.916666666666664
